review,clean_review,label
IMDb and the Greatest Film of All Time,imdb greatest film time,1.0
Stephen King's best adapted movie,stephen kings best adapted movie,1.0
"Enthralling, fantastic, intriguing, truly remarkable!",enthralling fantastic intriguing truly remarkable,1.0
Simply amazing. The best film of the 90's.,simply amazing best film,1.0
The absolute GREATEST movie of all time.,absolute greatest movie time,1.0
"Good movie, but best of all time? Hardly . . .",good movie best time hardly,1.0
The best story ever told on film,best story ever told film,1.0
The Greatest Movie of all Time,greatest movie time,1.0
Greatest movie of all time!,greatest movie time,1.0
Best movie of all time!,best movie time,1.0
This is a wonderful movie!!!!,wonderful movie,1.0
its an excellent piece of art,excellent piece art,1.0
Hope is a Good Thing. Maybe the Best of Things. And No Good Thing Ever Dies.,hope good thing maybe best things good thing ever dies,1.0
Simply Wonderful,simply wonderful,1.0
Excellent Stephen King adaptation; flawless Robbins & Freeman,excellent stephen king adaptation flawless robbins freeman,1.0
One of the Best If You Get It,one best get,1.0
Simply a great story that is moving and uplifting,simply great story moving uplifting,1.0
The best film of all time ?,best film time,1.0
"Great story, wondrously told and acted",great story wondrously told acted,1.0
"A Bit Over-Rated Perhaps, But Still A Good Movie With Great Performances From Freeman and Robbins",bit overrated perhaps still good movie great performances freeman robbins,1.0
Brilliant & Excellent,brilliant excellent,1.0
This is one of the most inspiring n one of the greatest film.,one inspiring n one greatest film,1.0
The best movie i ever watched,best movie ever watched,1.0
Truly the greatest prison movie ever!,truly greatest prison movie ever,1.0
The Greatest Movie of All Time ( after Godfather 1972),greatest movie time godfather,1.0
The 2nd Best Movie Ever Made,nd best movie ever made,1.0
The best movie ever?,best movie ever,1.0
The greatest movie ever made and to be made,greatest movie ever made made,1.0
Without a doubt one of the best movies of all time,without doubt one best movies time,1.0
One of the best movies I have ever seen,one best movies ever seen,1.0
One of the best movies ever made?,one best movies ever made,1.0
The greatest movie ever made..!,greatest movie ever made,1.0
The greatest movie ever!,greatest movie ever,1.0
Best of all time!!!,best time,1.0
One of the Best Films Ever Put on the Silver Screen,one best films ever put silver screen,1.0
The best jailhouse movie of all time!,best jailhouse movie time,1.0
The best film ever made!,best film ever made,1.0
"A bit overrated, but still an amazing film",bit overrated still amazing film,1.0
An amazing tale of hope and patience,amazing tale hope patience,1.0
One of the greatest movies of all time,one greatest movies time,1.0
The BEST movie ever made.,best movie ever made,1.0
"Excellent Movie, But Not ""Greatest of All Time.""",excellent movie greatest time,1.0
One of the best movies I have ever watched in my life,one best movies ever watched life,1.0
The only time I'd call anything The Best Film Ever Made.,time id call anything best film ever made,1.0
One of the best - of all time. Seriously.,one best time seriously,1.0
"Greatest Movie of All time, hands down!",greatest movie time hands,1.0
Absolutely brilliant,absolutely brilliant,1.0
"#1 on IMDB's top 250, one of the best movies of all time and more than 6200 reviews... what's more to say about this movie?",imdbs top one best movies time reviews whats say movie,1.0
AN EXCELLENT MASTERPIECE !!,excellent masterpiece,1.0
"A great film, but #2?",great film,1.0
"Hope is a good thing, maybe the best of things.",hope good thing maybe best things,1.0
Best full of emotions and story,best full emotions story,1.0
The greatest movie ever made!!!,greatest movie ever made,1.0
Simply the best!,simply best,1.0
The best movie ever,best movie ever,1.0
One of the best movies ever made,one best movies ever made,1.0
The best movie I've ever seen,best movie ive ever seen,1.0
"hope is a good thing, maybe the best of things,And no good thing ever dies.",hope good thing maybe best thingsand good thing ever dies,1.0
Best Film Ever...Period,best film everperiod,1.0
Best Movie ever!,best movie ever,1.0
Greatest Stephen King adaptation of all time,greatest stephen king adaptation time,1.0
Indeed... This is the best movie in history,indeed best movie history,1.0
Not the best prison movie,best prison movie,1.0
One of the best movies of all time,one best movies time,1.0
Morgan Freeman is the only great thing in this movie,morgan freeman great thing movie,1.0
One of the best movies ever made.,one best movies ever made,1.0
the one of best movie i seen,one best movie seen,1.0
This movie is so great,movie great,1.0
"The best, pure and simple.",best pure simple,1.0
Great movie for everyone,great movie everyone,1.0
The greatest story of persistence pays off.,greatest story persistence pays,1.0
The best movie of my life,best movie life,1.0
Hands Down one of the Best Movies,hands one best movies,1.0
Best Inspirational Movie,best inspirational movie,1.0
"Reasonably good...but far too clichéd to be called ""great""",reasonably goodbut far clichd called great,1.0
Still One of the Greatest!,still one greatest,1.0
"Truly brilliant, moving and flawless.",truly brilliant moving flawless,1.0
So it's not everyday that you watch the greatest movie of your lifetime.,everyday watch greatest movie lifetime,1.0
2nd best film ever?,nd best film ever,1.0
the best movie in the world ever made,best movie world ever made,1.0
One of the Greatest Ever,one greatest ever,1.0
Deserves the title as best movie of all time!,deserves title best movie time,1.0
Simply the Best!,simply best,1.0
The best movie ever!,best movie ever,1.0
One of the best movies I've ever seen,one best movies ive ever seen,1.0
A fantastic movie to enjoy,fantastic movie enjoy,1.0
"Above average, but not great.",average great,1.0
excellent emotional rescue,excellent emotional rescue,1.0
The Best Movie of all Time,best movie time,1.0
One of the Greatest Films of All Time.,one greatest films time,1.0
Very best movie i ever watch,best movie ever watch,1.0
The greatest film in the world (probably).,greatest film world probably,1.0
Wow!!!Amazing!!!Breathtaking!!!,wowamazingbreathtaking,1.0
what a great movie!,great movie,1.0
An excellent film contained within a classic,excellent film contained within classic,1.0
HOPE IS THE BEST THING!,hope best thing,1.0
Best film ever?!,best film ever,1.0
Best film I have ever seen,best film ever seen,1.0
"""Hope is a good thing, maybe the best of things, and no good thing ever dies""",hope good thing maybe best things good thing ever dies,1.0
A fantastic story which touches the inner-most of the body,fantastic story touches innermost body,1.0
One of the best films ever made.,one best films ever made,1.0
The greatest transition from confinement to freedom ever portrayed in film,greatest transition confinement freedom ever portrayed film,1.0
"Great Movie? nope, there's no truth to it",great movie nope theres truth,1.0
The Shawshank BESTemption,shawshank bestemption,1.0
Greatest movie ever made.,greatest movie ever made,1.0
"The best movie ever, excellent is a small word for this movie!",best movie ever excellent small word movie,1.0
"good one but not the ""second best of all time""...",good one second best time,1.0
Perhaps the best movie of all time,perhaps best movie time,1.0
"IN TOP 5 BEST MOVIES EVER,ONE OF MY FAVOURITE",top best movies everone favourite,1.0
One of the best flicks of the decade.,one best flicks decade,1.0
the best ever hollywood drama movie i have ever watched................,best ever hollywood drama movie ever watched,1.0
A gritty look at prison. One of the best prison movies ever.,gritty look prison one best prison movies ever,1.0
It was best in my life,best life,1.0
A wonderful movie! A true mind over matter picture!,wonderful movie true mind matter picture,1.0
The best movie ever made,best movie ever made,1.0
The Shawshank Redemption Is An Excellent Film,shawshank redemption excellent film,1.0
Excellent Film. A Powerful Drama,excellent film powerful drama,1.0
One of the greatest films ive ever seen,one greatest films ive ever seen,1.0
Possibly the best movie ever to be made!!!,possibly best movie ever made,1.0
"Great, uplifting drama, with one flaw...",great uplifting drama one flaw,1.0
It's the small things that make it brilliant...,small things make brilliant,1.0
A Feel good Movie: Greatest ever? Probably not,feel good movie greatest ever probably,1.0
A film beyond greatness.,film beyond greatness,1.0
The Greatest Movie Ever To Be Told On Film,greatest movie ever told film,1.0
Best Movie Of The Era,best movie era,1.0
One of the best movies ever,one best movies ever,1.0
AN UTTERLY FANTASTIC MOVIE.,utterly fantastic movie,1.0
It will remain as the best movie I have ever seen in my life.,remain best movie ever seen life,1.0
"hope is a good thing, maybe the best of things",hope good thing maybe best things,1.0
Simply the greatest movie ever made. Make it part of your bucket list.,simply greatest movie ever made make part bucket list,1.0
Why Redemption in Shawshank is the best movie,redemption shawshank best movie,1.0
Greatest Film of All Time,greatest film time,1.0
The best film I have ever seen,best film ever seen,1.0
A great film of a helping hand leading to end-around justice,great film helping hand leading endaround justice,1.0
best film of all time,best film time,1.0
Not bad movie ..,bad movie,0.0
One of the best movies around,one best movies around,1.0
Best movie ever made!,best movie ever made,1.0
"No word, just watch. It's one of the best for a reason.",word watch one best reason,1.0
Great films come only once in a blue moon,great films come blue moon,1.0
The greatest movie of all time,greatest movie time,1.0
"An Amazing and Emotional Film, one of the very best.",amazing emotional film one best,1.0
The greatest movie I've ever seen,greatest movie ive ever seen,1.0
Pretty boring stuff,pretty boring stuff,0.0
Best film ever made...,best film ever made,1.0
"It took me while to come around, but this is one of the best!",took come around one best,1.0
Maybe The Best Movie Ever Made,maybe best movie ever made,1.0
Good? Yes. Number 1 best movie of all time? Heck no!,good yes number best movie time heck,1.0
still the best movie of all time,still best movie time,1.0
NOT THAT GREAT!!! OPEN YOUR FRIGGIN EYES!!!!!!,great open friggin eyes,1.0
The Best Movie Ever Made,best movie ever made,1.0
Not the greatest movie of all time,greatest movie time,1.0
The Best Film Ever Made,best film ever made,1.0
My all time best film,time best film,1.0
Brilliant. Moved me in a way I never thought possible.,brilliant moved way never thought possible,1.0
The Greatest Movie Ever Made?,greatest movie ever made,1.0
Greatest Movie of All Time !?,greatest movie time,1.0
"Great movie, Great Actors, Great Story",great movie great actors great story,1.0
Simply the best film ever made.,simply best film ever made,1.0
Shawshank never won best picture one of the greatest crimes at the Oscars in History,shawshank never best picture one greatest crimes oscars history,1.0
Not the best but still excellent,best still excellent,1.0
A brilliant film any way you look at it,brilliant film way look,1.0
Not the greatest movie of all time but pretty darn good,greatest movie time pretty darn good,1.0
The best movie I ever watched,best movie ever watched,1.0
The Shawshank Redemption - One of the greats,shawshank redemption one greats,1.0
The best movie I have seen,best movie seen,1.0
Hands down the best movie I have ever seen,hands best movie ever seen,1.0
one of the best.,one best,1.0
The best movie I have ever seen!,best movie ever seen,1.0
Good but not great,good great,1.0
One of the best movies of all time.,one best movies time,1.0
A brilliant film,brilliant film,1.0
The Best Movie And Ultime Favourite,best movie ultime favourite,1.0
great concept great acting great movie,great concept great acting great movie,1.0
"it's a great movie, it will leave you with weird happiness",great movie leave weird happiness,1.0
In my opinion the best movie ever made.,opinion best movie ever made,1.0
American story telling at its best,american story telling best,1.0
What a amazing MOVIE,amazing movie,1.0
On of the Best Movies,best movies,1.0
Best script I ever read,best script ever read,1.0
Wonderful Movie.,wonderful movie,1.0
An excellent film with some deep thought provoking meanings,excellent film deep thought provoking meanings,1.0
Without a doubt.....greatest movie ever,without doubtgreatest movie ever,1.0
Best movie ever!!,best movie ever,1.0
Fantastic story telling,fantastic story telling,1.0
A Wonderful film,wonderful film,1.0
Stephen King's best adaptation,stephen kings best adaptation,1.0
one of the greatest,one greatest,1.0
Really Great Movie Must Watch,really great movie must watch,1.0
Great movie; take time out to watch it and learn some of life's lessons,great movie take time watch learn lifes lessons,1.0
Without a doubt one of the best masterpiece of all time !!!,without doubt one best masterpiece time,1.0
The Best Movie Of A Dull Subject,best movie dull subject,1.0
"Not The Greatest Film Ever, But The Most Universally Great One",greatest film ever universally great one,1.0
"Good, but not great - grossly overrated",good great grossly overrated,1.0
"One of the few movies that deserve the title of ""Best Movie Of All Time"".",one movies deserve title best movie time,1.0
Simply the best movie ever!!!!!!,simply best movie ever,1.0
The greatest film ever made!,greatest film ever made,1.0
"Good, but great?",good great,1.0
"A Great film, Outstanding Acting and Story! Instant Classic!",great film outstanding acting story instant classic,1.0
I don't hate this movie - I hate the Fan-base,dont hate movie hate fanbase,0.0
An Amazing film!,amazing film,1.0
"Brilliant film, but...",brilliant film,1.0
Not perfect but still I recommend it very much because it´s a great film!,perfect still recommend much great film,1.0
Bloody fantastic,bloody fantastic,1.0
The greatest film ever made!!!,greatest film ever made,1.0
Best of Hollywood creation ever.....,best hollywood creation ever,1.0
Best Movie Ever?,best movie ever,1.0
one of the greatest films of the history,one greatest films history,1.0
Reason Why This is the Best Movie of All Time,reason best movie time,1.0
The best film ever!!!,best film ever,1.0
Most amazing film ever,amazing film ever,1.0
Very wonderful movie,wonderful movie,1.0
Greatest movie ever,greatest movie ever,1.0
This movie is the best for me,movie best,1.0
Excellent movie I liked it a lot,excellent movie liked lot,1.0
One of the best movie ever,one best movie ever,1.0
One of the greats!,one greats,1.0
Overrated boring movie,overrated boring movie,0.0
Best Drama Genre Movie of All time,best drama genre movie time,1.0
The best movie of all time,best movie time,1.0
A brilliant movie but it's still far away from being the best one!,brilliant movie still far away best one,1.0
Amazing Story About Shaw shank Redemption,amazing story shaw shank redemption,1.0
The Best Movie Ever,best movie ever,1.0
"Great film, a bit over rated",great film bit rated,1.0
"Good, but not great",good great,1.0
an great movie!!!. i dont think i will ever get over how good this movie is,great movie dont think ever get good movie,1.0
Its should be given best film for perfection.,given best film perfection,1.0
One of the greatest mediocre films ever made,one greatest mediocre films ever made,1.0
"Not Bad, Just Overrated",bad overrated,0.0
Simply amazing!!!,simply amazing,1.0
"Hope is a good thing, maybe the best of things, and no good thing ever dies.",hope good thing maybe best things good thing ever dies,1.0
The best movie so far for me...,best movie far,1.0
Greatest Movie of All Time!!!,greatest movie time,1.0
"""Best of all time""",best time,1.0
"Not bad, but Seriously Overrated",bad seriously overrated,0.0
This isn't the best movie I've seen but it is close,isnt best movie ive seen close,1.0
the best part was when...,best part,1.0
Literally the Best Movie of All Time,literally best movie time,1.0
Best Movie about LIfe lessons,best movie life lessons,1.0
Best movie I have seen,best movie seen,1.0
Great Story Telling,great story telling,1.0
one of the best movies of all time.,one best movies time,1.0
BLOODY EXCELLENT,bloody excellent,1.0
HOPE is a good thing maybe the best of the things,hope good thing maybe best things,1.0
Best prison movie of all time!,best prison movie time,1.0
a fantastic and clever script,fantastic clever script,1.0
"Yes, it is amazing! But, if so, where's the support for it?",yes amazing wheres support,1.0
Best film I've ever seen.,best film ive ever seen,1.0
Really great movie.,really great movie,1.0
What a bad movie,bad movie,0.0
The best films are the ones with simple and powerful messages,best films ones simple powerful messages,1.0
BEST MOVIE I Have Seen,best movie seen,1.0
Perhaps the Greatest Film pf all time,perhaps greatest film pf time,1.0
